q1,q2,q3,q4,q5,q6,q7,q8,q16
3,1,1,1,C E,1.52,45.36,5,1
3,1,1,1,,1.55,52.16,4,1
3,2,1,2,B,1.55,73.94,4,1
3,2,1,1,E,1.68,72.58,4,1
3,1,1,1,,1.52,53.98,4,2
3,1,1,2,A,1.5,47.63,5,1
3,2,1,1,B,,,5,1
3,2,1,1,,1.68,86.18,3,1
3,1,1,1,E,,,5,2
3,1,1,1,E,1.6,64.86,5,1
3,2,1,1,,1.68,71.67,4,1
3,2,1,,,,,4,1
3,2,1,1,,1.7,92.08,5,1
3,2,1,1,E,,,5,1
3,1,1,1,E,1.6,56.7,4,1
3,1,1,2,B,1.52,58.97,4,1
3,2,1,1,E,1.68,99.79,3,1
3,1,1,1,,1.5,44.91,5,3
3,2,1,1,,1.78,68.04,4,3
3,2,1,1,,1.75,101.15,4,1
5,2,3,1,,1.75,77.11,5,1
5,1,3,1,E,1.6,63.5,5,2
6,2,3,1,,1.68,73.03,5,1
5,1,3,1,B,1.5,47.63,5,1
5,1,3,1,,1.65,68.04,5,1
5,1,3,1,,,,5,1
5,2,3,1,,,,5,1
5,1,3,1,,1.63,79.38,4,1
5,1,3,1,,1.6,61.24,5,1
3,1,,1,,,,5,1
5,1,3,1,B,1.68,95.26,5,1
5,1,3,1,E,1.55,54.43,5,1
6,2,3,1,,,,5,1
5,1,3,1,,,,3,1
5,2,3,1,E,1.75,65.77,5,3
5,2,3,1,E,1.68,81.65,5,1
5,2,3,1,D,1.78,64.41,4,8
5,1,3,1,,1.65,69.4,1,1
6,2,3,1,,1.63,53.52,5,1
5,2,3,1,,1.85,73.03,4,8
5,2,3,1,E,1.78,63.96,5,1
7,1,4,2,B,1.52,45.81,5,1
7,2,4,2,B,,,5,1
5,2,3,1,E,1.75,117.94,4,
3,1,1,2,C E,,,5,1
3,2,1,1,,1.65,46.72,5,1
6,1,4,1,E,1.75,84.82,5,1
6,1,4,1,A   E,,,5,2
6,2,4,1,E,1.88,113.4,5,1
7,2,4,2,BC,,,3,1
6,1,4,2,B,1.57,99.79,4,1
6,2,4,1,,1.75,88,4,1
5,1,4,1,,1.55,56.7,5,1
3,2,1,2,B,1.68,46.27,5,3
6,2,4,1,E,1.75,63.5,4,1
6,2,4,1,,1.75,78.47,5,1
6,2,4,1,E,1.78,117.94,5,1
6,1,4,1,,1.52,63.5,4,3
6,2,4,1,E,1.8,77.11,4,1
6,1,4,1,,1.63,68.04,4,1
6,2,4,1,,1.73,108.86,5,1
6,2,4,2,B,1.7,76.66,5,1
5,2,4,,,,,2,1
7,1,4,2,B,,,4,1
6,1,4,1,E,1.47,48.99,5,1
5,1,4,1,,1.73,91.63,5,1
6,1,4,1,E,1.6,58.97,5,1
6,1,4,1,E,1.63,114.31,4,1
4,1,2,1,E,1.57,58.97,5,1
4,2,2,1,E,,,4,1
4,2,2,1,,,,5,1
3,1,2,1,,1.65,54.43,5,1
4,,2,1,,,,5,1
5,1,3,1,E,1.63,74.84,4,
5,2,3,1,,1.68,58.97,4,1
5,1,3,1,,1.5,48.99,5,1
6,2,3,2,B,,,4,1
5,1,3,2,E,1.57,62.6,5,1
4,2,3,1,E,1.65,50.35,5,3
5,1,3,1,E,1.65,50.35,5,1
4,1,3,1,,,,5,1
5,1,3,1,E,1.63,61.24,3,2
5,1,3,2,B,1.63,54.43,4,1
5,1,3,1,,1.6,72.58,5,1
5,2,3,1,E,,,5,1
6,2,4,2,E,1.85,78.02,5,1
6,2,4,2,A   E,1.93,129.28,5,1
6,1,4,2,E,1.6,54.43,5,1
6,1,4,2,C,1.55,68.04,4,3
6,2,4,2,E,1.78,74.84,4,1
6,2,4,2,E,1.78,93.44,5,1
7,2,4,2,E,1.8,68.04,5,1
7,2,4,2,E,1.85,70.31,3,1
7,2,4,2,E,1.83,83.46,2,2
6,2,4,2,E,1.88,70.31,5,1
6,1,4,2,E,1.63,79.38,4,1
6,2,4,2,E,1.88,56.7,5,1
6,2,4,2,E,1.8,82.1,4,2
6,2,4,2,E,1.85,68.95,5,3
7,2,4,2,E,1.78,72.58,,1
7,1,4,2,A,1.7,86.64,5,1
6,2,4,2,E,1.9,70.76,3,1
5,2,3,2,E,1.75,60.78,3,1
5,1,3,2,E,1.73,60.78,4,1
5,1,3,2,E,1.63,63.5,5,1
5,2,3,2,E,1.9,77.11,5,1
5,2,3,2,E,1.73,54.43,4,1
5,2,3,2,E,1.85,78.02,4,1
6,2,3,2,E,1.83,71.22,5,1
5,2,3,2,E,1.78,77.11,3,2
5,2,3,2,E,1.73,77.11,1,4
6,2,3,2,A   E,1.93,95.26,4,1
6,1,3,1,A,1.55,58.97,4,1
5,2,3,2,E,1.83,63.5,5,1
6,1,3,2,E,1.63,63.5,5,1
5,2,3,2,E,1.75,54.43,5,1
5,2,3,2,E,1.78,77.11,5,1
5,2,3,2,E,1.68,53.52,5,1
5,1,3,2,E,,,5,1
5,1,3,2,E,1.52,43.09,4,1
5,1,3,2,E,1.75,59.88,4,1
5,1,3,2,E,1.68,62.14,5,3
5,2,3,2,E,1.8,88.45,4,1
5,1,3,2,E,1.7,61.24,3,1
5,2,3,2,E,1.7,82.56,5,8
3,1,1,2,E,,,4,1
2,1,1,2,E,1.55,49.9,5,2
4,2,1,2,E,1.63,56.7,5,2
3,2,1,2,E,1.75,70.31,5,1
3,2,1,,E,1.8,73.03,5,1
3,2,,1,C,1.78,59.88,3,1
4,2,1,1,E,1.73,49.9,5,2
4,1,1,1,E,1.73,88.45,4,1
3,1,1,2,A   E,1.8,95.26,5,1
3,2,1,2,C,1.7,64.86,4,1
3,2,1,2,E,,,,1
4,1,1,2,E,1.63,51.71,5,1
5,2,2,2,E,1.8,73.94,5,2
4,2,1,,E,1.7,49.9,1,1
4,1,1,2,E,1.6,49.9,5,1
3,1,1,2,E,1.8,83.92,3,1
4,2,1,2,E,1.73,56.7,5,1
3,2,1,2,E,1.7,54.43,4,1
4,1,2,2,E,1.7,98.88,5,1
5,1,2,2,E,1.75,70.31,4,1
4,2,2,2,A,1.85,97.52,5,1
5,2,2,2,E,1.83,92.99,5,2
4,2,2,2,E,1.6,48.08,5,1
5,2,2,2,E,1.68,72.58,4,1
5,2,2,2,E,1.8,69.4,5,1
4,2,2,2,E,1.83,71.67,5,1
4,2,2,2,E,1.8,99.79,5,
4,2,2,2,E,,,5,1
5,2,2,2,E,1.75,64.86,2,1
4,1,2,1,E,1.6,44.91,5,1
5,2,2,2,E,1.9,68.04,5,1
4,2,2,2,E,1.96,95.71,5,1
4,1,2,2,E,1.6,58.97,5,1
5,1,2,2,E,1.7,83.92,5,1
4,2,2,2,E,1.68,50.8,4,1
5,2,2,2,E,1.73,52.16,5,1
4,2,2,2,E,1.78,110.68,5,2
4,1,2,2,E,,,5,1
4,2,2,2,E,1.78,69.85,3,1
3,2,1,2,C,,,4,1
6,1,3,2,E,1.63,50.8,5,1
,,,,,,,,1
7,2,4,2,C,1.75,72.58,2,2
3,1,1,2,C,,,3,2
4,1,1,1,,1.6,81.19,5,1
3,1,1,2,C,,,3,1
3,2,1,2,C,1.73,77.11,,2
3,2,1,2,C,,,3,3
4,2,1,2,C,,,5,1
6,1,4,1,,,,3,4
6,2,4,2,C,,,4,3
6,2,4,2,C,1.75,84.37,2,1
7,1,4,1,,1.5,53.98,4,1
5,1,3,1,,1.65,68.04,5,1
7,1,4,1,E,1.65,58.97,4,1
6,2,4,1,E,,,5,1
6,2,4,2,B  E,1.75,58.97,5,1
7,2,4,1,,1.68,56.7,5,1
6,2,3,2,,1.88,84.82,4,1
7,2,4,2,C,1.73,86.18,4,1
7,1,5,2,E,1.75,127.01,5,1
7,1,4,1,E,1.52,40.82,5,1
6,2,4,1,,1.85,95.26,5,3
6,1,2,1,,1.63,67.59,5,1
6,2,2,2,E,,,5,1
5,2,2,2,C,1.78,70.31,5,1
4,1,2,2,E,1.63,108.86,5,1
4,1,2,2,C,,,5,1
4,1,2,2,C,1.65,46.27,5,1
4,1,2,2,C E,1.55,64.86,2,3
5,,2,2,A C,,,3,1
